Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,50,Villanova,Big East,,19-14,123,,162,70,---,,14-3,158,8-Mar,76,3-Feb,108,,10-Dec,83,4-Jul,204,,3-Feb,5-Feb,8-Apr,4-Apr,1-Mar,1-Aug
,,,,,(19-14-0),,,,,,,(14-3-0),,(3-8-0),,(2-3-0),,,(12-10-0),,(7-4-0),,,(2-3-0),(2-5-0),(4-8-0),(4-4-0),(3-1-0),(8-1-0)
,51,SMU,Atlantic Coast,,23-10,123,,156,46,---,,5-Dec,135,4-Jul,114,1-Apr,98,,14-8,91,2-Sep,186,,0-4,0-2,0-6,4-Apr,14-0,May-00
,,,,,(23-10-0),,,,,,,(12-5-0),,(7-4-0),,(4-1-0),,,(14-8-0),,(9-2-0),,,(0-4-0),(0-2-0),(0-6-0),(4-4-0),(14-0-0),(5-0-0)
,52,Cincinnati,Big 12,,18-15,97,,147,38,---,,5-Dec,126,9-Apr,68,1-Feb,63,,14-Jul,47,1-Nov,185,,7-Jan,4-Feb,11-Mar,3-Jun,1-Mar,Jun-00
,,,,,(18-15-0),,,,,,,(12-5-0),,(4-9-0),,(2-1-0),,,(7-14-0),,(11-1-0),,,(1-7-0),(2-4-0),(3-11-0),(6-3-0),(3-1-0),(6-0-0)
,53,Indiana,Big Ten,,19-13,78,,113,32,43,,14-4,101,6-Apr,50,3-Jan,41,,11-Oct,47,2-Sep,137,,6-Feb,4-Feb,10-Apr,3-Jul,May-00,Mar-00
,,,,,(18-13-1),,,,,,,(14-4-0),,(3-6-1),,(1-3-0),,,(9-11-1),,(9-2-0),,,(2-6-0),(1-4-1),(3-10-1),(7-3-0),(5-0-0),(3-0-0)
,54,Vanderbilt,Southeastern,,20-12,103,,157,26,16,,14-3,142,7-Mar,39,2-Mar,101,,11-Aug,29,1-Dec,212,,6-Apr,5-Feb,11-Jun,1-Apr,Mar-00,Jul-00
,,,,,(19-12-1),,,,,,,(13-3-1),,(3-7-0),,(3-2-0),,,(7-11-1),,(12-1-0),,,(3-6-1),(2-5-0),(5-11-1),(4-1-0),(3-0-0),(7-0-0)
,55,Liberty,Conference USA,,25-6,174,,180,152,113,,3-Oct,198,2-Sep,162,1-Jun,147,,16-5,164,1-Sep,193,,0-0,0-0,0-0,Feb-00,14-6,Sep-00
,,,,,(25-5-1),,,,,,,(10-3-0),,(9-2-0),,(6-0-1),,,(16-5-0),,(9-0-1),,,(0-0-0),(0-0-0),(0-0-0),(2-0-0),(14-5-1),(9-0-0)
,56,Northwestern,Big Ten,,17-16,88,,130,47,93,,5-Dec,114,9-Feb,53,2-Mar,77,,14-Aug,47,2-Sep,170,,6-Feb,3-Jan,9-Mar,6-Jun,1-May,Mar-00
,,,,,(14-15-4),,,,,,,(9-5-3),,(2-8-1),,(3-2-0),,,(6-13-3),,(8-2-1),,,(0-6-2),(1-2-1),(1-8-3),(6-6-0),(5-1-0),(2-0-1)
,57,Santa_Clara,West Coast,,20-12,141,,175,91,99,,4-Nov,156,5-Jun,135,3-Mar,117,,7-Dec,152,5-Aug,127,,3-Jan,0-0,3-Jan,5-May,3-Jun,1-Aug
,,,,,(19-10-3),,,,,,,(10-3-2),,(6-4-1),,(3-3-0),,,(11-6-2),,(8-4-1),,,(1-3-0),(0-0-0),(1-3-0),(4-4-2),(6-2-1),(8-1-0)
,58,McNeese State,Southland,,23-6,201,,234,75,---,,1-Oct,212,2-Sep,230,3-Apr,137,,19-1,243,5-Apr,108,,0-1,0-1,0-2,2-Jan,2-Jul,15-0
,,,,,(23-6-0),,,,,,,(10-1-0),,(9-2-0),,(4-3-0),,,(19-1-0),,(4-5-0),,,(0-1-0),(0-1-0),(0-2-0),(1-2-0),(7-2-0),(15-0-0)
